subject_code,section,course_title,units,time,room,instructor,max_no,lang,level,free_slots,remarks,s,p
A,PRACTICUM II,0.0,TBA,TBA,TBA| -,50,ENG,G,49,-,N,N,
A,FINAL PAPER SUBMISSION,0.0,TBA,TBA,TBA| -,50,ENG,G,46,-,N,N,
A,ATENEO SOCIAL AND CULTURAL LABORATORY I,3.0,D 0800-0930,TBA,LIM| LIZA L.| WUI| Ma. Glenda,20,ENG,U,1,ALL SLOTS FOR 4TH YEAR AB SOCIO MAJORS.,N,N,
A,GLOBALIZATION| LOCALITIES AND IDENTITIES,3.0,D 1400-1530,TBA,ZIALCITA| FERNANDO N.,12,ENG,U,6,-,N,N,
A,ETHNOGRAPHIC ANALYSIS,3.0,D 1530-1700,TBA,ZIALCITA| FERNANDO N.,12,ENG,U,9,-,N,N,
A,AN INTRODUCTION TO MEDIA AND POLITICS,3.0,M-W-F 1030-1300,TBA,NERY| Mario Jr.,30,ENG,U,0,-,N,N,
A,POLITICS| GOVERNANCE| AND CITIZENSHIP,3.0,D 0930-1100,TBA,AGUIRRE| ARJAN P.,36,ENG,U,3,ALL SLOTS FOR 4TH YEAR STUDENTS.,N,N,
A,THE CONTEMPORARY WORLD,3.0,D 0930-1100,TBA,ALFILER| CHERIE AUDREY A.,21,ENG,U,0,-,N,N,
A,SCIENCE| TECHNOLOGY| AND SOCIETY,3.0,D 0930-1100,TBA,AMANTE| Francesco| GONZALEZ| PAOLO ANTONIO G.,23,ENG,U,0,-,N,N,
A,RESEARCH METHODS AND BUSINESS MODELLING TECHNIQUES,3.0,D 0800-0930,TBA,ILAGAN| JOSEPH BENJAMIN R.| UY| MATTHEW LAURENCE A.,28,ENG,U,0,-,N,N,
A,STATISTICAL MODELING,3.0,D 0930-1100,TBA,FILART| Jan Paul,19,ENG,U,0,-,N,N,
A,STATISTICAL ANALYSIS,3.0,D 0930-1100,TBA,AGBAYANI| VICTOR E.,19,ENG,U,0,-,N,N,
A,APPLIED STATISTICS: TOOLS AND APPLICATIONS,3.0,D 1400-1530,TBA,VILLEGAS| KERISH S.,29,ENG,U,0,-,N,N,
A,INFORMATION TECHNOLOGY APPLICATION PROGRAMMING (BYOD),3.0,D 1100-1230,TBA,ILAGAN| JOSEPH BENJAMIN R.,27,ENG,U,0,-,N,N,
A,BASIC INFORMATION TECHNOLOGY APPLICATIONS IN BUSINESS BYOD: EXCEL + DATA VISUALIZATION,3.0,M-W-F 1300-1530,TBA,CALUAG| JOSE ANTONIO I.,22,ENG,U,0,-,N,N,
A,ATENEO SOCIAL AND CULTURAL LABORATORY II,3.0,D 0930-1100,TBA,LIM| LIZA L.| WUI| Ma. Glenda,20,ENG,U,1,ALL SLOTS FOR 4TH YEAR AB SOCIO MAJORS.,N,N,
A,BASIC INFORMATION TECHNOLOGY APPLICATIONS IN BUSINESS: EXCEL + E-COMMERCE DEVELOPMENT,3.0,D 0930-1100,TBA,TORRES| PATRICK G.,22,ENG,U,0,-,N,N,
A,TECHNOLOGY VENTURE START-UP I,3.0,D 0930-1100,TBA,DE LA RAMA| Gian Paulo| ILAGAN| JOSEPH BENJAMIN R.,35,ENG,U,0,ALL SLOTS FOR 4TH YEAR BS ITE MAJORS.,N,N,
A,CREATIVE THINKING AND INNOVATION MANAGEMENT,3.0,D 0930-1100,TBA,UY| MATTHEW LAURENCE A.,24,ENG,U,0,-,N,N,
A,INTRODUCTION TO DECISION MAKING AND MANAGEMENT SCIENCE,3.0,M-W-F 1800-2030,TBA,UY| MATTHEW LAURENCE A.,11,ENG,U,0,*UPON APPROVAL OF THE PROGRAM DIRECTOR,N,N,
