subject_code,section,course_title,units,time,room,instructor,max_no,lang,level,free_slots,remarks,s,p
BIO160.01,C,EVOLUTIONARY BIOLOGY| LECTURE,3,D 1100-1230,TBA,DELOCADO| EMMANUEL D.,30,ENG,U,3,-,N,N
BIO160.01,A,EVOLUTIONARY BIOLOGY| LECTURE,3,D 0800-0930,TBA,DELOCADO| EMMANUEL D.| GELLYNCK| MARC P.,35,ENG,U,-1,-,N,N
BIO160.01,B,EVOLUTIONARY BIOLOGY| LECTURE,3,D 0930-1100,TBA,GELLYNCK| MARC P.,35,ENG,U,-1,-,N,N
BIO160.02,C,EVOLUTIONARY BIOLOGY| LABORATORY,2,T-TH 1200-1800,TBA,DELOCADO| EMMANUEL D.,30,ENG,U,0,-,N,N
BIO160.02,A,EVOLUTIONARY BIOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,DELOCADO| EMMANUEL D.| GELLYNCK| MARC P.,35,ENG,U,9,-,N,N
BIO160.02,B,EVOLUTIONARY BIOLOGY| LABORATORY,2,T-TH 1200-1800,TBA,GELLYNCK| MARC P.,35,ENG,U,-2,-,N,N
BIO197,A,PRACTICUM,3,TBA,TBA,GULPEO| PIA CLARISSE R.,70,ENG,U,10,-,N,N
BIO290,A,GRADUATE SEMINAR IN BIOLOGY,1,TBA,TBA,GAMBE-GILBUENA| ARNI E.,12,ENG,G,12,-,N,N
BIO296,A,COMPREHENSIVE EXAMINATIONS,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO298,A,SPECIAL RESEARCH,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO299.1,A,THESIS I,0,TBA,TBA,TBA| -,12,ENG,G,11,-,N,N
BIO299.2,A,THESIS II,0,TBA,TBA,TBA| -,12,ENG,G,8,-,N,N
BIO299.4,A,ORAL DEFENSE,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO299.5,A,RESIDENCY,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO299.6,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO299.7,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO32,A,BIOSCIENCE ENTERPRISE,3,D 1100-1230,TBA,AGUIRRE| ARIEL LORENZO J II Y.| MOORE| Keith,30,ENG,U,0,-,N,N
BIO396,A,COMPREHENSIVE EXAMINATIONS,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO399.1,A,DISSERTATION PROPOSAL,0,TBA,TBA,TBA| -,12,ENG,G,12,-,N,N
BIO399.12,A,DISSERTATION I,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO399.2,A,DISSERTATION II,0,TBA,TBA,TBA| -,12,ENG,G,12,-,N,N
BIO399.4,A,ORAL DEFENSE,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO399.6,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIO399.7,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
BIOED297.2,A,PRACTICUM II,0,TBA,TBA,TO BE ARRANGED,50,ENG,G,50,-,N,N
CHCOMPRE400,A,COMPREHENSIVE EXAMINATIONS,0,TBA,TBA,TBA| -,12,ENG,G,12,-,N,N
CHEM131.01,C,QUANTITATIVE CHEMICAL ANALYSIS| LECTURE,3,D 0800-0930,TBA,IMPERIAL| JAMES FRANCIS L.,24,ENG,U,8,-,N,N
CHEM131.01,B,QUANTITATIVE CHEMICAL ANALYSIS| LECTURE,3,D 0930-1100,TBA,LAPINIG| DANIELLE B.,24,ENG,U,0,-,N,N
CHEM131.01,D,QUANTITATIVE CHEMICAL ANALYSIS| LECTURE,3,D 0930-1100,TBA,IMPERIAL| JAMES FRANCIS L.,24,ENG,U,-1,-,N,N
CHEM131.01,A,QUANTITATIVE CHEMICAL ANALYSIS| LECTURE,3,D 0800-0930,TBA,LAPINIG| DANIELLE B.,24,ENG,U,0,-,N,N
CHEM131.02,A,QUANTITATIVE CHEMICAL ANALYSIS| LABORATORY,2,SAT 1300-1700; T-TH 1300-1700,TBA; TBA,DIMZON| IAN KEN D.,18,ENG,U,8,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM131.02,B,QUANTITATIVE CHEMICAL ANALYSIS| LABORATORY,2,T-TH-S 1300-1700,TBA,MAGSALIN| John Daniel,18,ENG,U,1,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM131.02,C,QUANTITATIVE CHEMICAL ANALYSIS| LABORATORY,2,T-TH-S 1300-1700,TBA,OQUENDO| NOEL A.,18,ENG,U,0,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM161.41,A,INORGANIC COMPOUNDS AND REACTIONS| LECTURE,3,D 1100-1230,TBA,FABICON| RONALDO M.| TURNER| ADAM H.,22,ENG,U,0,-,N,N
CHEM161.41,B,INORGANIC COMPOUNDS AND REACTIONS| LECTURE,3,D 0800-0930,TBA,FABICON| RONALDO M.| TURNER| ADAM H.,22,ENG,U,0,-,N,N
CHEM197,A,PROFESSIONAL ENGAGEMENT,3,D 0800-0930,TBA,BOLINAS| ROBERT DE ANGELO A.,20,ENG,U,3,-,N,N
CHEM197,B,PROFESSIONAL ENGAGEMENT,3,D 0930-1100,TBA,VOCAL| ERIKA KIRSTEN S.,20,ENG,U,0,-,N,N
CHEM197,C,PROFESSIONAL ENGAGEMENT,3,D 1100-1230,TBA,TURNER| ADAM H.,20,ENG,U,0,-,N,N
CHEM21.11,A,GENERAL CHEMISTRY I| LECTURE,3,D 0800-0930,TBA,CHAKRABORTY| SOMA,22,ENG,U,6,-,N,N
CHEM21.12,A,GENERAL CHEMISTRY I| LABORATORY,2,M-W-F 1300-1700,TBA,MAGSALIN| John Daniel,12,ENG,U,-1,-,N,N
CHEM21.32,A,CHEMISTRY FOR ENGINEERING STUDENTS| LABORATORY,1,T-TH 1300-1600,TBA,BOLINAS| ROBERT DE ANGELO A.,13,ENG,U,0,ALL SLOTS FOR BS EcE MAJORS. ALL SLOTS FOR BS CpE MAJORS.,N,N
CHEM248.1,A,ORGANIC CHEMISTRY:  POLYMER CHEMISTRY,3,D 1400-1530,TBA,CHAKRABORTY| SOMA,6,ENG,G,5,-,N,N
CHEM251.01,A,THE CHEMISTRY OF LIVING SYSTEMS,3,D 0800-0930,TBA,DE JESUS| Armando Jerome Jr.,12,ENG,G,8,-,N,N
CHEM266,A,INORGANIC CHEMISTRY:  COORDINATION CHEMISTRY,3,D 0930-1100,TBA,FABICON| RONALDO M.| TURNER| ADAM H.,12,ENG,G,10,-,N,N
CHEM290.1,A,GRADUATE SEMINAR I,1,T-TH 1700-1830,TBA,TBA| -,12,ENG,G,10,-,N,N
CHEM290.2,A,GRADUATE SEMINAR II,1,T-TH 1700-1830,TBA,TBA| -,12,ENG,G,11,-,N,N
CHEM292,A,FUNDAMENTALS OF RESEARCH,3,TBA,TBA,TBA| -,12,ENG,G,11,-,N,N
CHEM296,A,COMPREHENSIVE EXAMINATIONS,0,TBA,TBA,TBA| -,12,ENG,G,8,-,N,N
CHEM298.1,A,MASTER'S PROJECT I,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM298.2,A,MASTER'S PROJECT II,3,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM299.1,A,THESIS I,0,TBA,TBA,TBA| -,12,ENG,G,11,-,N,N
CHEM299.2,A,THESIS II,0,TBA,TBA,TBA| -,12,ENG,G,2,-,N,N
CHEM299.4,A,ORAL DEFENSE,0,TBA,TBA,TBA| -,12,ENG,G,12,-,N,N
CHEM299.5,A,RESIDENCY,0,TBA,TBA,TBA| -,12,ENG,G,12,-,N,N
CHEM299.6,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,12,ENG,G,12,-,N,N
CHEM299.7,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM396,A,COMPREHENSIVE EXAMINATIONS,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM399.1,A,DISSERTATION I,0,TBA,TBA,TBA| -,12,ENG,G,12,-,N,N
CHEM399.2,A,DISSERTATION II,0,TBA,TBA,TBA| -,50,ENG,G,48,-,N,N
CHEM399.4,A,ORAL DEFENSE,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM399.5,A,RESIDENCY,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM399.6,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM399.7,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CHEM53.10,A,SURVEY OF BIOCHEMISTRY,3,D 0800-0930,TBA,DE JESUS| Armando Jerome Jr.,22,ENG,U,1,-,N,N
CHEM81.51,A,INDUSTRIAL CHEMICAL REACTIONS AND PROCESSES| LECTURE,3,D 0930-1100,TBA,FABICON| RONALDO M.,19,ENG,U,0,*MATH WITH CHEM 81.52A,N,N
CHEM81.51,B,INDUSTRIAL CHEMICAL REACTIONS AND PROCESSES| LECTURE,3,D 0800-0930,TBA,FABICON| RONALDO M.,19,ENG,U,0,*MATCH WITH CHEM 81.52B,N,N
CHEM81.52,A,INDUSTRIAL CHEMICAL REACTIONS AND PROCESSES| LABORATORY,2,T-TH 1200-1800,TBA,PALARDONIO| SIDNEY M.,19,ENG,U,5,ALL SLOTS FOR BS MAC MAJORS.*MATCH WITH CHEM 81.51A,N,N
CHEM81.52,B,INDUSTRIAL CHEMICAL REACTIONS AND PROCESSES| LABORATORY,2,M-W-F 1300-1700,TBA,PALARDONIO| SIDNEY M.,19,ENG,U,-4,ALL SLOTS FOR BS MAC MAJORS.*MATCH WITH CHEM 81.51B,N,N
CHN47,A,CROSS-CULTURAL COMMUNICATION IN A CHINESE CONTEXT,3,D 1530-1700,TBA,GANADILLO| IVY MARIE L.,1,ENG,U,0,ALL SLOTS FOR AB ChnS-B MAJORS.,N,N
CHN7,A,CLASSICAL CHINESE,3,D 1400-1530,TBA,SEE| DAISY C.,1,~,U,-1,ALL SLOTS FOR AB ChnS-B MAJORS.,N,N
CIE185,A,ON-THE-JOB-TRAINING,3,SAT 0800-1100,TBA,OPPUS| CARLOS M.,10,ENG,U,2,ALL SLOTS FOR 5TH YEAR STUDENTS.*SLASH WITH ECE 190.1A,N,N
COMM191.14,A,FILM SEMINAR:  PHILIPPINE CINEMA,3,T 0800-1100; TH 0800-1230,TBA; TBA,CHUA| GERSHOM C.,25,ENG,U,17,-,N,N
COMM191.15,A,FILM SEMINAR:  AMERICAN CINEMA,3,T 1100-1400; TH 1230-1700,TBA; TBA,CHUA| GERSHOM C.,25,ENG,U,1,-,N,N
COMM193,A,QUANTITATIVE METHODS IN COMMUNICATION RESEARCH,3,D 1400-1530,TBA,ROMBAOA| Jasmine Sabrina,25,ENG,U,6,-,N,N
COMM197,D,PRACTICUM,3,T 0800-1100; TH 0800-1230,TBA; TBA,COX| CHRISTINE ANNE R.,23,ENG,U,19,-,N,N
COMM197,E,PRACTICUM,3,T 1100-1400; TH 1230-1700,TBA; TBA,COX| CHRISTINE ANNE R.,23,ENG,U,0,-,N,N
COMM197,C,PRACTICUM,3,D 0800-0930,TBA,COX| CHRISTINE ANNE R.,22,ENG,U,1,-,N,N
COMM197,B,PRACTICUM,3,D 1100-1230,TBA,VASWANI| SERENA M.,23,ENG,U,0,-,N,N
COMM197,A,PRACTICUM,3,D 0930-1100,TBA,VASWANI| SERENA M.,23,ENG,U,0,-,N,N
COMM218,A,SEMINAR ON MEDIA EDUCATION,3,T 1700-2130; TH 1700-2000,TBA; TBA,ROMBAOA| Jasmine Sabrina,15,ENG,G,6,-,N,N
COMM290.04,A,SEMINAR IN MEDIA AND SOCIETY:  NEW MEDIA CULTURE,3,M-W-F 1700-1930,TBA,LORENZANA| JOZON A.,15,ENG,G,4,-,N,N
COMM296,A,COMPREHENSIVE EXAMINATIONS,0,TBA,TBA,TBA| -,50,ENG,G,47,-,N,N
COMM298,A,INDEPENDENT STUDY,3,TBA,TBA,TBA| -,50,ENG,G,48,-,N,N
COMM299.1,A,THESIS I,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
COMM299.2,A,THESIS II,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
COMM299.4,A,ORAL DEFENSE,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
COMM299.5,A,RESIDENCY,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
COMM299.6,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
COMM299.7,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N
CS197A,A,INTEGRATIVE PROJECT,1,TUTORIAL 0000-0000,TBA,TY| JAYZON F.,1,ENG,U,0,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CS197A,C,INTEGRATIVE PROJECT,1,TUTORIAL 0000-0000,TBA,MONTALAN| JANN RAILEY E.,1,ENG,U,0,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CS197A,B,INTEGRATIVE PROJECT,1,TUTORIAL 0000-0000,TBA,AGAPITO| JENILYN L.,1,ENG,U,0,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CS199.1,A,PRACTICUM,3,TUTORIAL 0000-0000,TBA,SUGAY| JESSICA O.,5,ENG,U,2,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N
CSCI111,B,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,3,D 1230-1400,TBA,BAUTISTA| FRANCIS MICHAEL T.| CORONEL| ANDREI D.,40,ENG,U,21,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS. ALL SLOTS FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION.,N,N
CSCI111,A,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,3,D 1530-1700,TBA,BAUTISTA| FRANCIS MICHAEL T.| CORONEL| ANDREI D.,20,ENG,U,-1,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS. ALL SLOTS FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION.,N,N
CSCI117i,A,DATA VISUALIZATION,3,D 0930-1100,TBA,TEE| HANNAH ELYSE U.,38,ENG,U,-2,-,N,N
CSCI117i,B,DATA VISUALIZATION,3,D 1100-1230,TBA,TEE| HANNAH ELYSE U.,41,ENG,U,-1,1 SLOTS FOR 3RD YEAR BS CS MAJORS.,N,N
CSCI142i,A,HUMAN COMPUTER INTERACTION,3,D 1100-1230,TBA,AGAPITO| JENILYN L.,25,ENG,U,-2,-,N,N
CSCI152,B,WEB PAGE DESIGN,3,D 1530-1700,TBA,DE LA CRUZ| ROMELL IAN B.| SANTOS| JOHN MICHAEL B.,20,ENG,U,3,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.*FOR PRE-ENLISTED MNST ELECTIVE TAKERS ONLY,N,N
CSCI152,A,WEB PAGE DESIGN,3,D 1530-1700,TBA,DE LA CRUZ| ROMELL IAN B.| SAMACO| JAPHETH DUANE C.,20,ENG,U,1,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.*FOR PRE-ENLISTED MNST ELECTIVE TAKERS ONLY,N,N
CSCI181.04,A,SPECIAL TOPICS IN SOFTWARE ENGINEERING: ANDROID DEVELOPMENT,3,D 1400-1530,TBA,JONGKO| JEFFREY J.,35,ENG,U,7,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS. ALL SLOTS FOR INTERACTIVE MULTIMEDIA MINORS/SPECIALIZATION. ALL SLOTS FOR ENTERPRISE SYSTEMS MINORS/SPECIALIZATION.,N,N
